MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir3pm,WindSpeed3pm,Pressure3pm,Cloud3pm,Temp3pm,RainToday,RainTomorrow,AveHumidity,DifHumidity
21.7,40.4,0,11.8,10.3,WSW,72,SW,11,1014.4,2,39.1,No,No,15,10
20.1,29,0.4,6.4,11.8,NNE,52,ENE,33,1017.8,1,28.8,No,No,56,18
18.3,22.4,0,4,7.3,N,44,NNW,22,1019.3,6,21.1,No,Yes,83,4
27.5,33.7,0,9,11.4,WNW,37,WNW,19,1006.5,2,32.9,No,No,57,14
8.8,23.6,0,5.2,10.5,E,28,SE,6,1018.2,3,23,No,No,39,22
15,29.5,0,9,13.1,SW,35,SW,19,1015,0,27,No,No,41.5,9
6.6,13.7,15.4,2.6,4.1,S,39,SSW,15,1023.4,5,12.6,Yes,No,87.5,25
9.1,23.3,0,2.6,8.4,NE,35,NNE,28,1016,4,20.2,No,No,60.5,1
20.6,27.6,2.6,5.4,5.4,NNW,35,SE,9,1008.6,7,26.7,Yes,No,72,20
2.2,19.7,0,3.4,10.8,WNW,28,N,9,1017.9,3,18.8,No,No,52,34
13.9,28.9,0,7.8,9.9,S,67,SE,17,1008.5,7,24.8,No,No,50.5,15
16.1,21.3,29.9,1.1,9,ENE,37,ESE,17,1016.8,7,19.8,Yes,Yes,85.5,-3
9.5,14.8,3,1.2,0,NE,20,N,11,1013.9,8,14.7,Yes,No,88.5,3
17.3,19.3,0.4,16.2,5.5,WSW,52,WSW,28,1009.5,7,18.8,No,Yes,81.5,29
7.2,13.1,9.8,1.2,0.6,SW,48,SW,15,1011.3,8,9.4,Yes,Yes,80,-18
22.4,30.6,5.2,2.6,0.1,S,39,SSE,19,1004.4,8,29.8,Yes,Yes,74,18
10,21.5,0,4.8,3.6,SW,35,SSW,19,1008.1,7,20.1,No,Yes,59,12
9.5,17.5,13.2,2.2,2.1,S,28,SW,4,1021.8,7,16.1,Yes,No,52.5,13
16.7,24.7,0,4.2,2.9,ENE,31,SE,17,1008.3,7,23,No,Yes,71.5,13
2.6,18.1,0.4,1,6.7,ENE,15,S,4,1022.5,1,17.1,No,No,79.5,39
7.4,13.5,0.2,1.8,5.6,WSW,52,WSW,26,1018.5,6,13,No,No,63.5,15
24,38,0,9.4,8.9,ESE,33,S,7,1006.9,3,35.6,No,No,25.5,15
22.9,34.3,0,11,10.5,NNW,37,NNW,22,1010.8,3,31.8,No,No,49.5,9
8.7,19.7,1.6,5.2,8,NW,98,NNW,52,1001.5,6,18.5,Yes,Yes,48,30
19.3,33.1,4,3,11.7,N,50,NW,22,1016.4,2,26.7,Yes,Yes,50,2
10.6,19.2,13.2,2.6,8.8,SSW,41,NW,9,1014.6,5,17.4,Yes,No,52.5,37
9.7,20.9,8.2,1.8,9.4,NE,24,ESE,2,1018.5,2,19.3,Yes,No,77.5,29
4.3,15,0.2,1.4,4.5,SSE,30,SSE,13,1023.1,6,13.3,No,Yes,86.5,25
6.7,19.3,0,3.6,7.6,SSE,41,E,20,1020.5,7,17.6,No,No,58.5,7
14,30.7,0,7,12.4,NNE,43,ENE,11,1020.1,1,28.9,No,No,37.5,33
17.4,22.9,22.4,1.6,2.4,ENE,37,E,17,1024.4,7,22.6,Yes,Yes,66,12
16.8,32.5,0.8,7.6,1,N,93,N,61,1000.8,7,29.1,No,Yes,53.5,35
9.3,19,0,5.8,4.8,NW,65,NW,31,1003.9,7,18,No,No,46,-2
16.1,20.3,3.8,4,8,W,35,WNW,22,1015.9,4,19.3,Yes,No,79.5,29
12.4,32.3,0,8.2,11.5,ENE,35,SSE,7,1010.5,2,32.1,No,No,24,18
20.5,26.9,28.2,2.8,6.3,N,72,SE,9,1004,4,23.3,Yes,Yes,77.5,19
11.9,28.1,0,4,9,SW,30,WSW,15,1010.3,5,27.9,No,No,46.5,37
4.5,14.3,4,2.2,7,SSW,44,S,13,1019.6,7,9.6,Yes,Yes,67.5,-25
25.6,34.8,0,9.4,10.7,ENE,48,NNE,31,1011,5,33.4,No,No,49.5,21
18.2,33.8,0,11,10.8,ENE,52,NE,20,1010.9,5,33.3,No,No,41,24
15.1,26.7,0,10,0.7,SW,37,SW,9,1007,7,24.3,No,No,48,-6
19.8,37,0,11.4,13,E,70,SW,26,1004.9,1,35.1,No,No,38,12
10.1,22.9,0.2,3,10.8,NNW,56,SE,15,1015.8,6,21.2,No,No,59.5,5
19.2,21.6,17.8,4.8,3.1,NNE,37,SW,20,1014.3,8,19.6,Yes,No,85.5,7
24.5,30.8,0.4,10.6,0.1,E,44,ENE,24,1008.4,7,28.4,No,Yes,69.5,3
9.7,15.3,0,3,0.7,NNW,52,N,33,1019.2,7,15,No,No,52,18
13.7,28.1,0,3.8,9.4,NW,43,WNW,19,1009.8,2,27.5,No,No,34.5,25
24.2,38,0,11.8,10.7,ENE,52,NNW,11,1013.8,4,35.7,No,No,34,26
12.2,19.1,5.2,1,3.6,WSW,28,S,11,1026.8,7,17.8,Yes,No,72.5,11
14.1,18.2,1,4.2,8.9,W,65,SW,24,1016.5,1,17,No,No,58,12
-3.2,13.9,0,0.6,8.6,E,24,NNE,7,1022.8,1,13.1,No,No,61,46
8.3,12.7,0,2.4,0.2,W,50,W,39,1020.8,7,12.3,No,No,59,14
16.6,32.3,0,8,11.5,N,54,S,30,1010.2,3,24.7,No,No,51.5,-15
6.8,14.8,1.6,3.6,5.4,SW,52,SW,37,1006.5,7,10.4,Yes,Yes,74,-32
14.1,20.4,0,7.2,4.8,WSW,43,SW,20,1007.8,7,19.2,No,No,60,4
14.8,28,0,4.8,13.3,ENE,28,SW,9,1009.8,4,26.7,No,No,53,20
8.1,31.6,0,6.6,11.4,N,35,WNW,13,1012.4,0,31.1,No,No,12.5,11
17.5,27.1,0,4.8,10.7,NE,28,NE,13,1011.5,2,25.5,No,No,72,8
10.2,21.2,0,2.8,10.5,WNW,67,NW,28,1001.5,5,20.1,No,No,43,8
20.5,28,0.4,6.4,3,S,37,E,13,1014.2,7,24.7,No,Yes,90,-4
15.4,32,0,10,13.4,ENE,35,W,13,1016.1,4,30.5,No,No,31,22
23.1,39.7,0,20,10.2,SSE,41,S,26,1010.6,1,37.7,No,No,34,28
17.3,26.9,0,7.4,1.8,NE,48,NNW,19,1013.8,7,26.3,No,No,48,20
11.1,20.4,0,3.8,8.5,S,44,S,26,1030.9,3,19.1,No,No,53,30
18.5,26.8,2.8,9.8,9.8,WSW,44,SW,15,1012.9,1,25.6,Yes,No,54,36
8.5,25.9,0,6.2,11.5,W,35,W,26,1012.2,3,24.9,No,No,47.5,21
3.3,9.3,2,1.4,0.1,N,26,ENE,9,1010.2,7,9,Yes,Yes,91.5,7
20,36.1,0,11.4,11,NNW,37,W,19,1009.8,5,33,No,No,39,22
20.9,27.2,23.6,3.2,0.8,E,44,ESE,15,1009.5,5,26.4,Yes,Yes,80,8
17.2,31.3,1.4,9.2,10.7,ENE,48,NNE,19,1010.3,5,29.8,Yes,No,55.5,23
17.7,36,0,10.4,11.1,ESE,41,WSW,9,1010.4,1,34.2,No,No,17.5,5
17.1,30.7,1,5.2,6.5,ESE,44,E,19,1014,6,28.9,No,No,68,46
28.1,41,0,11.4,7.7,NNE,37,W,17,1014.1,4,38.8,No,No,19,12
21.4,38,0,12,6.7,NW,41,WSW,24,1012.1,7,35.5,No,No,25,8
23.1,27.4,53.2,5,0,SE,41,SE,17,1005,8,24.3,Yes,Yes,88,-8
14.1,31.4,0,7.8,12.2,N,46,N,26,1017.2,6,30.5,No,No,32,16
16.9,33.1,0,8,12.3,SW,56,S,33,1006.2,6,24.4,No,No,71.5,19
16.8,29.8,0,6.4,11,ESE,39,ESE,20,1010.8,4,29.4,No,No,40,24
13.3,20,0.2,7,3.4,SW,39,ESE,15,1022.8,6,17.6,No,No,53,-2
9.9,26.3,0,4,7.4,N,20,NNE,9,1015.3,5,26,No,No,47,34
18.8,26.8,0,4.8,10.6,SE,44,SE,31,1015.2,1,25.3,No,No,53,6
4.2,26.7,0,6.8,11.1,ESE,33,SSW,9,1019.7,0,25.9,No,No,22,12
7,17.6,2.6,4.8,4.8,NW,59,NW,19,999.2,7,14.8,Yes,Yes,75.5,7
22.1,32.7,6.6,6.4,7.2,NNW,35,NNW,15,1002.3,6,31.9,Yes,Yes,64.5,17
20,28.2,0,5.8,10.8,NE,54,NE,35,1015.9,2,27.7,No,No,58,10
14.5,26.9,0,5.2,8.2,W,61,SW,20,1005,6,20,No,Yes,66,4
15.4,20.5,0,3.4,7,WNW,46,NW,30,1014.5,7,19,No,Yes,74.5,-5
17.8,22.7,0.8,9.4,0.2,SE,41,SSE,15,1016.1,8,21.5,No,Yes,69.5,5
16.7,35.4,0,10,10.5,NNE,65,NW,17,1012,5,34.7,No,No,27,28
-0.9,14.7,0,3.6,10,ESE,37,SSE,19,1022.3,0,14.3,No,No,54,52
8,12.8,2.2,1.6,8.1,E,41,NE,13,1024,7,12.2,Yes,No,74.5,9
20.4,25.4,0,3.4,3.7,SSW,37,SSE,11,1011.5,7,23.9,No,No,55,4
28.8,35.5,0,19.4,2.7,WSW,65,WNW,30,1004.9,7,33.9,No,Yes,37,8
16.4,20.6,3.4,2.2,1.2,SW,39,ENE,15,1018.7,7,20.2,Yes,Yes,78,14
3.5,18.9,0,1.2,1.4,N,41,N,19,1016.6,7,18.3,No,No,67,34
9.2,16.6,1,5.2,9.2,WSW,41,SSE,17,1027.7,5,16.2,No,No,61,10
17,26.3,0,7,12.3,NE,44,NE,31,1017.2,1,25.3,No,No,57,-2
6.1,11.6,1.8,1.8,7,SW,59,SSW,22,1019.8,2,9.4,Yes,No,55.5,35
14.4,30,0,20.4,11.8,E,37,E,20,1017.2,3,28.7,No,No,41,24
25.1,32.7,0,7,8.5,NNW,31,NW,19,1007.2,7,29.4,No,No,67,16
10.8,19.7,13.4,3.6,4.9,SSW,56,ESE,19,1001.8,6,16.7,Yes,Yes,77,22
14.1,31.6,0,8.2,10.9,SE,37,ENE,13,1016.4,3,29.7,No,No,40,24
16.7,25.6,1.4,6.2,0,N,35,NNW,19,1006.4,8,25,Yes,Yes,71,34
22.1,29.7,0,5.6,11,ENE,33,ENE,24,1014.2,7,28.7,No,No,66.5,3
17.2,29.8,0,7,10.6,ENE,44,ENE,31,1014.7,7,27.9,No,No,49,10
15.4,19,0.6,3.2,7.6,S,43,S,28,1023,5,17,No,No,82,0
24.1,31.4,11.8,4,7.7,NW,39,NNW,15,1003.9,3,30.9,Yes,No,70.5,13
12,23.1,0,3.8,9.1,ENE,41,NE,9,1016.5,3,22.5,No,No,41,16
10.9,20.2,0,2.8,2.2,SSW,39,S,17,1018.8,3,20,No,No,40,10
18.7,31.5,0,9.8,11.5,SW,39,SW,15,1007.7,6,28.9,No,No,48,2
-3.8,9,0,1,4,WNW,54,NW,20,1014.3,6,7,No,No,71.5,37
19.7,23.1,0,15.2,0.5,WSW,63,N,11,1007.9,8,19.6,No,Yes,74.5,-25
6.1,12.4,0,3.4,5.6,N,65,N,28,1020.2,6,11.7,No,No,58,10
10,23.5,0,2.8,9.2,W,46,ENE,11,1021.3,1,21.9,No,No,66.5,29
11.1,18.7,0.2,0.4,6.5,WSW,43,WSW,20,1015.3,6,14.8,No,No,83.5,11
12.4,15.6,23.4,1,0,SSW,54,SW,19,1017.6,8,14.8,Yes,Yes,95,4
16.6,27.2,0,5.2,8.1,NNE,54,NNE,43,1010.4,7,24.2,No,No,58.5,-7
22.5,39.8,0,10.6,11.4,SSW,33,SSE,9,1007.9,1,38,No,No,12,8
2.9,19.8,0,5.6,10.5,S,39,SE,19,1021,1,19.2,No,No,37.5,27
17.3,35.2,0,14.8,7.5,N,85,NNW,41,1003.4,7,33.2,No,No,29,14
16.5,31.1,0,8.4,11.3,E,63,E,19,1015.7,1,30.5,No,No,33.5,25
8,22.9,0,5.8,8.5,N,48,N,31,1013.6,6,22.3,No,No,30,16
13.6,25,0,17.8,13.3,SSW,50,SSW,24,1014.3,0,22.9,No,No,42,28
14,19.3,0,2.8,6.6,NE,50,NE,28,1016.8,7,17.9,No,Yes,70,4
20.3,36.9,0,9.8,8.9,NNE,39,NNE,17,1006.1,2,35.8,No,No,20,10
21.9,29.5,0,8.8,11.7,NNE,57,NE,37,1013.9,1,28.9,No,No,64.5,23
14.5,19.1,2,6,9.1,SW,65,SW,43,1008.4,5,17.8,Yes,No,61,2
17.2,33.7,0,8,5.4,NW,44,WNW,22,1014.1,7,31.9,No,No,26,18
2.9,14.7,0,1.6,5.5,SSE,26,NNW,7,1021.2,2,12.6,No,No,65.5,23
16.1,23.1,0,8.6,13,E,35,E,22,1016.3,1,21.7,No,No,62,0
22.4,37.1,1.4,11.8,7.9,W,78,W,50,1009.7,7,23.2,Yes,Yes,55.5,-37
3,11.4,16.4,4.2,2.9,WSW,85,SW,33,1001.3,8,5.5,Yes,Yes,68,-10
8.9,17.6,7.6,1.2,1.4,NNE,52,NNE,13,999.5,7,15.3,Yes,Yes,88.5,-1
12.2,30.5,0,1.6,6.3,NNW,89,NNW,39,1001.8,7,29,No,No,41,38
6.6,14,3.4,1,7.7,S,59,S,37,1018.8,6,11,Yes,No,76,26
8.8,25.3,4.2,6.2,13.7,S,35,ENE,13,1015.8,1,23.1,Yes,No,31,22
13.3,30.8,0,8.8,4.9,SSW,35,SW,9,1011.6,7,30.2,No,No,39,22
6.5,10.2,0,2.1,0,ESE,19,ENE,9,1025.2,8,10,No,Yes,76,8
10.7,13.9,2.6,5.8,3,NW,78,NW,43,1000,8,9.2,Yes,Yes,82.5,-1
8.7,19.4,0,10,11.4,SE,37,SSE,13,1020.7,0,18.6,No,No,42.5,21
1.2,20.2,0,2,12.4,N,33,NW,13,1017.9,1,19.7,No,No,51,36
14,28.5,0,8.4,9.7,NE,43,NE,26,1021.9,4,27.1,No,No,38,18
11.1,18.4,3.4,1.8,11.3,SSW,46,SSW,24,1024,4,16.9,Yes,No,55.5,15
15.5,27.9,0,12.6,8.8,SW,41,SW,20,1010.8,0,26.8,No,No,27.5,25
23.3,29.4,1.2,4.8,1.1,E,43,E,28,1010,7,28.9,Yes,No,69.5,17
13.6,21.7,0,6,7.1,E,30,NE,11,1022,3,20.2,No,No,70.5,17
21.1,29.4,0,5.4,4.6,NE,48,N,24,1009.7,8,26.4,No,No,65.5,5
-1.6,15.8,0,1,8.5,NNW,17,NW,9,1025.5,1,15.5,No,No,64.5,37
9.9,28.6,0,7,12.9,NW,30,SSW,9,1022.6,0,27.3,No,No,20,14
6.6,13.9,1.4,2,2.4,WNW,31,WNW,13,1019.4,7,12.8,Yes,No,78,10
16.3,22.4,0,2.2,1.2,S,59,SSE,31,1017.5,7,18.3,No,No,75.5,13
8.1,15.1,1,2.6,3.8,W,61,W,33,1011.6,6,13.2,No,No,78.5,21
10.4,18.2,13.6,1.8,7,WSW,63,SW,35,1012.6,6,14.5,Yes,Yes,73.5,-1
19.8,30.9,0,7.2,10.4,ESE,44,SSE,19,1013,6,30.3,No,No,22.5,21
16.7,30.8,0,9.1,10.3,SE,31,ENE,19,1010.1,0,29.7,No,No,34.5,9
22.2,30.7,0,5.4,7.8,ESE,28,E,13,1006,7,28.7,No,No,62,-4
18.2,23.6,0,9.8,6.5,NE,35,ENE,28,1012.4,7,22.6,No,No,64,10
4.5,16.2,0,1.4,8.6,NNW,35,NNW,15,1020,2,16,No,No,58.5,31
24.6,31,0,9.2,12.4,ENE,37,ENE,31,1010.1,1,29.9,No,No,67,0
3.5,20.6,0.4,2.6,13.8,SE,65,SE,30,1019.6,1,19.9,No,No,49,24
23.7,34.2,0,4,10.6,E,35,N,20,1010.1,2,33.1,No,No,57.5,31
5.7,12.7,1.8,2.6,4,WNW,61,W,24,1010.5,5,11.5,Yes,Yes,65,4
4.8,15.7,0,0.2,2.1,NNE,20,W,9,1025.2,7,14,No,No,86,20
16.2,25.6,0,5.2,1.8,E,52,N,13,1013.1,7,22.8,No,No,54,-20
22.9,24.8,132.6,9.4,0,N,98,NNW,52,1002.1,8,23.4,Yes,Yes,96,0
15.8,31.7,0,8.2,12,N,37,S,19,1013.5,1,31.3,No,No,38,34
4.1,12,2,1.4,8.7,W,31,NNE,13,1017.4,6,11.2,Yes,No,73,30
6.6,23.1,0,3.4,10.8,ENE,30,WNW,7,1017.3,2,22.4,No,No,61.5,35
14.8,28.7,0,5.2,9.7,NNW,41,NNW,15,1014.8,4,27.1,No,Yes,36,24
6.9,23.2,0,4,8.5,E,31,E,26,1011.5,1,21.1,No,No,77.5,43
10.2,23.9,0,4.6,12.4,N,41,N,22,1016.2,1,21.7,No,No,51,12
15.2,26.5,0,5,11.2,ESE,39,ESE,26,1016.6,2,25.2,No,No,76.5,37
17.6,28.4,0,6,5.8,N,28,WNW,9,1017.3,6,27.4,No,No,43.5,5
4.9,13.4,0,2.4,1.2,WNW,63,W,39,1010.6,7,10.4,No,Yes,73,-34
21.8,26.6,5.2,2.2,4.1,NNE,30,WNW,13,1008.3,7,25.7,Yes,Yes,87,18
6.9,24.5,0.2,3.8,6.6,S,37,S,26,1018,6,21.7,No,Yes,76.5,39
6,19.7,0,2.4,9.2,NNE,35,NNE,24,1024.4,3,19.1,No,No,54,36
6.2,12.6,1.2,0.8,5.4,S,52,S,28,1024.7,7,10.7,Yes,No,74.5,13
5.2,23.3,0,2.6,10.5,NE,28,NE,15,1022,0,22.2,No,No,44,38
10.1,30.5,0,6.6,9,NNW,57,NW,33,1010.1,7,27.3,No,No,40,14
